stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
262,662,DANFORTH RD AT KENNEDY RD,,43.714379,-79.260939,,,,,2
263,929,DAVENPORT RD AT BEDFORD RD,,43.674448,-79.399659,,,,,1
264,940,DAVENPORT RD AT DUPONT ST,,43.675511,-79.401938,,,,,2
265,1871,DAVISVILLE AVE AT CLEVELAND ST,,43.702088,-79.378112,,,,,1
266,11700,DISCO RD AT ATTWELL DR,,43.701362,-79.594843,,,,,1
267,3478,DISCO RD AT ATTWELL DR,,43.701043,-79.595806,,,,,1
268,3479,DISCO RD AT CARLINGVIEW DR EAST SIDE,,43.69981,-79.600769,,,,,1
269,3480,DISCO RD AT CARLINGVIEW DR,,43.699929,-79.601176,,,,,1
270,14258,DON MILLS RD AT EGLINTON AVE EAST,,43.720674,-79.339121,,,,,1
271,9125,DON MILLS RD AT EGLINTON AVE EAST NORTH SIDE,,43.721373,-79.338926,,,,,1
273,14255,DON MILLS RD AT LAWRENCE AVE EAST SOUTH SIDE,,43.736625,-79.343442,,,,,1
274,1950,DON MILLS RD AT LEITH HILL RD,,43.777291,-79.348163,,,,,1
275,14260,DON MILLS RD AT OVERLEA BLVD SOUTH SIDE,,43.709493,-79.334354,,,,,2
278,1974,DON MILLS RD AT STEELES AVE EAST,,43.81104,-79.360513,,,,,1
279,1975,DON MILLS RD AT VAN HORNE AVE,,43.787246,-79.352783,,,,,1
280,1977,DON MILLS RD AT WYNFORD DR,,43.722851,-79.339326,,,,,1
284,5006,DONCASTER AVE AT MAIN ST WEST SIDE,,43.691659,-79.303796,,,,,1
285,5007,DONCASTER AVE AT MAIN ST,,43.691607,-79.303525,,,,,1
286,5008,DONCASTER AVE AT MAIN ST,,43.691816,-79.303103,,,,,1
289,9288,DREWRY AVE AT GARDENIA CRT,,43.78388,-79.431676,,,,,1
290,9275,DREWRY AVE AT GRANTBROOK ST,,43.783607,-79.433593,,,,,1
291,979,DUFFERIN ST AT YORKDALE RD,,43.726531,-79.457356,,,,,1
292,9991,DUFFERIN ST AT SPRINGHURST AVE,,43.634831,-79.425646,,,,,1
293,985,DUFFERIN ST AT JANE OSLER BLVD - YORKDALE SHOPPING CENTRE,,43.725083,-79.456993,,,,,1
294,11630,DUFFERIN MALL,,43.655795,-79.434031,,,,,1
295,9856,DUNDAS ST WEST AT BLOOR ST WEST,,43.656442,-79.452572,,,,,2
296,9942,DUNDAS ST WEST AT JANE ST EAST SIDE,,43.665583,-79.490433,,,,,2
297,9943,DUNDAS ST WEST AT JANE ST WEST SIDE,,43.66578,-79.492146,,,,,2
298,4455,DUNDAS ST WEST AT RUNNYMEDE RD WEST SIDE,,43.66565,-79.482921,,,,,1
299,5026,DUNDAS ST WEST AT RUNNYMEDE RD,,43.665514,-79.482628,,,,,1
303,13898,DUPLEX AVE AT EGLINTON AVE WEST,,43.70623,-79.400108,,,,,2
307,11651,EAST YORK TOWN CENTRE,,43.705908,-79.347132,,,,,2
308,11181,EASTERN AVE AT QUEEN ST EAST SOUTH SIDE,,43.666788,-79.312738,,,,,1
309,13486,EASTERN AVE AT QUEEN ST EAST,,43.667037,-79.312475,,,,,2
310,9855,EDNA AVE AT DUNDAS ST WEST,,43.657134,-79.453027,,,,,1
311,1031,2495 EGLINTON AVE EAST AT SOUTH SERVICE RD (EAST),,43.73404,-79.259764,,,,,1
312,2240,EGLINTON AVE EAST AT BAYVIEW AVE EAST SIDE,,43.711112,-79.376375,,,,,2
317,2253,EGLINTON AVE EAST AT BRIMLEY RD WEST SIDE,,43.736674,-79.248799,,,,,1
318,10467,EGLINTON AVE EAST AT EGLINTON SQ,,43.725114,-79.300489,,,,,1
320,3539,EGLINTON AVE EAST AT KENNEDY STATION,,43.732292,-79.267117,,,,,1
321,5071,EGLINTON AVE EAST AT LAIRD DR,,43.713371,-79.365372,,,,,1
323,1036,EGLINTON AVE EAST AT MIDLAND AVE WEST SIDE,,43.734493,-79.258911,,,,,1
330,11488,EGLINTON AVE WEST AT AVENUE RD EAST SIDE,,43.704641,-79.407957,,,,,1
334,9896,EGLINTON AVE WEST AT EVERDEN RD (EGLINTON WEST STATION),,43.698757,-79.435651,,,,,1
336,2354,EGLINTON AVE WEST AT GLENARDEN RD,,43.699564,-79.432546,,,,,1
337,2366,EGLINTON AVE WEST AT JANE ST EAST SIDE,,43.68452,-79.498076,,,,,1
338,2380,EGLINTON AVE WEST AT MARLEE AVE,,43.698127,-79.439204,,,,,1
339,13440,EGLINTON AVE WEST AT MARLEE AVE,,43.698177,-79.438962,,,,,1
340,2388,EGLINTON AVE WEST AT OAKWOOD AVE,,43.697197,-79.442946,,,,,1
342,9383,EGLINTON AVE EAST AT WESTON RD,,43.686765,-79.489821,,,,,1
343,2419,EGLINTON AVE WEST AT WESTON RD,,43.687153,-79.489369,,,,,1
345,11506,8TH ST AT BIRMINGHAM ST,,43.602795,-79.507259,,,,,2
346,3543,EIGHTH ST AT LAKE SHORE BLVD WEST NORTH SIDE,,43.60078,-79.506431,,,,,1
348,10904,ELLESMERE RD AT MIRROW CT,,43.787289,-79.185159,,,,,2
349,9622,ELLESMERE RD AT EAST SERVICE RD,,43.767379,-79.273102,,,,,2
350,9619,ELLESMERE RD AT EAST SERVICE RD,,43.767743,-79.272603,,,,,1
351,9604,ELLESMERE RD AT MCCOWAN RD EAST SIDE,,43.77225,-79.25047,,,,,1
352,6368,ELLESMERE RD AT PHARMACY AVE,,43.758847,-79.310443,,,,,1
353,6372,ELLESMERE RD AT VICTORIA PARK AVE,,43.758123,-79.31474,,,,,1
354,9621,ELLESMERE RD AT WEST SERVICE RD EAST SIDE,,43.766111,-79.278977,,,,,2
355,9620,ELLESMERE RD AT WEST SERVICE RD,,43.766455,-79.278682,,,,,2
357,11107,ERSKINE AVE AT MT PLEASANT RD WEST SIDE,,43.712504,-79.392499,,,,,1
358,6375,THE ESPLANADE AT LOWER JARVIS ST EAST SIDE,,43.648249,-79.370453,,,,,1
359,2435,EVANS AVE AT BROWNS LINE,,43.610792,-79.549007,,,,,2
